unidade;ano;mes;media_permanencia
HJK;2024;8;7,695283018867925
HJK;2024;9;7,70523138832998
HJK;2024;10;7,656221198156682
HJK;2024;11;7,825428859737639
HJK;2024;12;7,321361058601134
HJK;2025;1;7,983606557377049
HJK;2025;2;7,866255144032922
HJK;2025;3;7,72579185520362
HJK;2025;4;7,708728652751423
HJK;2025;5;8,543374642516683
HJK;2025;6;8,49232245681382
HJK;2025;7;8,198729582577133
HJK;2025;8;8,247242647058824
HJK;2025;9;8,133456904541243
HJK;2025;10;7,861594867094409
HJK;2025;11;8,417085427135678
HJK;2025;12;7,741532976827094
HJXXIII;2022;1;9,023832221163012
HJXXIII;2022;2;8,711827956989247
HJXXIII;2022;3;8,121402877697841
HJXXIII;2022;4;8,368068833652007
HJXXIII;2022;5;8,516256157635468
HJXXIII;2022;6;8,450199203187251
HJXXIII;2022;7;8,71671388101983
HJXXIII;2022;8;9,276356192425792
HJXXIII;2022;9;8,918866080156402
HJXXIII;2022;10;9,692464358452138
HJXXIII;2022;11;9,108457711442787
HJXXIII;2022;12;9,193293885601578
HJXXIII;2023;1;9,35810113519092
HJXXIII;2023;2;8,688770053475936
HJXXIII;2023;3;8,882745471877978
HJXXIII;2023;4;9,589958158995817
HJXXIII;2023;5;8,834545454545454
HJXXIII;2023;6;9,888059701492537
HJXXIII;2023;7;10,062689585439838
HJXXIII;2023;8;9,714723926380367
HJXXIII;2023;9;9,646700507614213
HJXXIII;2023;10;8,973172987974099
HJXXIII;2023;11;9,0
HJXXIII;2023;12;9,384169884169884
HJXXIII;2024;1;10,014145810663765
HJXXIII;2024;2;9,244785949506037
HJXXIII;2024;3;8,629061371841155
HJXXIII;2024;4;7,943097014925373
HJXXIII;2024;5;8,151569506726457
HJXXIII;2024;6;9,098790322580646
HJXXIII;2024;7;8,549440298507463
HJXXIII;2024;8;9,123481781376519
HJXXIII;2024;9;9,184426229508198
HJXXIII;2024;10;8,842418235877107
HJXXIII;2024;11;8,591386554621849
HJXXIII;2024;12;8,302972195589644
HJXXIII;2025;1;7,963699222126189
HJXXIII;2025;2;8,145875251509054
HJXXIII;2025;3;8,396003633060854
HJXXIII;2025;4;7,948542024013722
HJXXIII;2025;5;8,070219966159053
HJXXIII;2025;6;8,080560420315237
HJXXIII;2025;7;8,035928143712574
HJXXIII;2025;8;7,7825
HJXXIII;2025;9;7,852488687782805
HJXXIII;2025;10;7,718518518518518
HJXXIII;2025;11;8,349561830574489
HJXXIII;2025;12;8,145203111495245
HMAL;2022;1;7,796610169491525
HMAL;2022;2;6,4353741496598635
HMAL;2022;3;4,9605263157894735
HMAL;2022;4;5,969387755102041
HMAL;2022;5;5,676056338028169
HMAL;2022;6;6,314720812182741
HMAL;2022;7;5,1959798994974875
HMAL;2022;8;6,49079754601227
HMAL;2022;9;5,048543689320389
HMAL;2022;10;5,28494623655914
HMAL;2022;11;5,7272727272727275
HMAL;2022;12;5,65945945945946
HMAL;2023;1;5,714285714285714
HMAL;2023;2;5,2228260869565215
HMAL;2023;3;3,5535714285714284
HMAL;2023;4;4,894230769230769
HMAL;2023;5;4,355648535564853
HMAL;2023;6;3,380952380952381
HMAL;2023;7;4,273469387755102
HMAL;2023;8;3,672794117647059
HMAL;2023;9;3,636015325670498
HMAL;2023;10;3,3454545454545452
HMAL;2023;11;3,302491103202847
HMAL;2023;12;3,1167192429022084
HMAL;2024;1;3,5560165975103732
HMAL;2024;2;4,382075471698113
HMAL;2024;3;4,272357723577236
HMAL;2024;4;3,48046875
HMAL;2024;5;3,5547445255474455
HMAL;2024;6;3,8181818181818183
HMAL;2024;7;4,6177777777777775
HMAL;2024;8;3,6330645161290325
HMAL;2024;9;4,294117647058823
HMAL;2024;10;3,596774193548387
HMAL;2024;11;3,3085106382978724
HMAL;2024;12;4,709090909090909
HMAL;2025;1;6,488188976377953
HMAL;2025;2;5,854838709677419
HMAL;2025;3;4,625
HMAL;2025;4;8,863636363636363
HMAL;2025;5;5,44
HMAL;2025;6;6,144927536231884
HMAL;2025;7;5,7125
HMAL;2025;8;6,633802816901408
HMAL;2025;9;8,568627450980392
HMAL;2025;10;6,75
HMAL;2025;11;5,434782608695652
HMAL;2025;12;7,142857142857143
HRAD;2022;1;6,766467065868263
HRAD;2022;2;6,151851851851852
HRAD;2022;3;6,080536912751678
HRAD;2022;4;5,871621621621622
HRAD;2022;5;5,83249581239531
HRAD;2022;6;6,14878892733564
HRAD;2022;7;6,589595375722543
HRAD;2022;8;6,33678756476684
HRAD;2022;9;6,293307086614173
HRAD;2022;10;6,521739130434782
HRAD;2022;11;6,3949730700179535
HRAD;2022;12;5,683937823834197
HRAD;2023;1;5,636655948553055
HRAD;2023;2;6,018656716417911
HRAD;2023;3;5,5564024390243905
HRAD;2023;4;5,773993808049536
HRAD;2023;5;5,813271604938271
HRAD;2023;6;5,8454258675078865
HRAD;2023;7;6,202020202020202
HRAD;2023;8;6,096308186195826
HRAD;2023;9;5,303030303030303
HRAD;2023;10;5,433641975308642
HRAD;2023;11;5,723905723905724
HRAD;2023;12;5,124450951683748
HRAD;2024;1;5,658346333853354
HRAD;2024;2;5,746902654867257
HRAD;2024;3;5,635670731707317
HRAD;2024;4;6,13179571663921
HRAD;2024;5;5,8757861635220126
HRAD;2024;6;5,829346092503987
HRAD;2024;7;5,469578783151326
HRAD;2024;8;5,226608187134503
HRAD;2024;9;5,217777777777778
HRAD;2024;10;5,068627450980392
HRAD;2024;11;5,45985401459854
HRAD;2024;12;5,551873198847262
HRAD;2025;1;5,734992679355783
HRAD;2025;2;5,854337152209492
HRAD;2025;3;5,630276564774381
HRAD;2025;4;5,4924924924924925
HRAD;2025;5;6,048513302034428
HRAD;2025;6;5,886676875957121
HRAD;2025;7;5,509687034277198
HRAD;2025;8;6,230894308943089
HRAD;2025;9;5,154166666666667
HRAD;2025;10;5,338213762811128
HRAD;2025;11;5,221745350500715
HRAD;2025;12;5,11611030478955
HRBJA;2022;1;11,41988950276243
HRBJA;2022;2;12,006451612903225
HRBJA;2022;3;10,744897959183673
HRBJA;2022;4;12,74390243902439
HRBJA;2022;5;11,773684210526316
HRBJA;2022;6;12,957831325301205
HRBJA;2022;7;9,924778761061948
HRBJA;2022;8;10,549763033175356
HRBJA;2022;9;10,785365853658536
HRBJA;2022;10;11,768817204301076
HRBJA;2022;11;13,368098159509202
HRBJA;2022;12;10,544554455445544
HRBJA;2023;1;11,395833333333334
HRBJA;2023;2;12,634146341463415
HRBJA;2023;3;12,04864864864865
HRBJA;2023;4;10,645320197044335
HRBJA;2023;5;12,46236559139785
HRBJA;2023;6;10,320754716981131
HRBJA;2023;7;12,193717277486911
HRBJA;2023;8;11,037914691943127
HRBJA;2023;9;11,049261083743842
HRBJA;2023;10;12,96132596685083
HRBJA;2023;11;9,64102564102564
HRBJA;2023;12;9,9004329004329
HRBJA;2024;1;9,13888888888889
HRBJA;2024;2;10,401913875598087
HRBJA;2024;3;11,08411214953271
HRBJA;2024;4;10,75
HRBJA;2024;5;10,544642857142858
HRBJA;2024;6;11,396984924623116
HRBJA;2024;7;10,159609120521173
HRBJA;2024;8;7,9736147757255935
HRBJA;2024;9;7,852691218130311
HRBJA;2024;10;11,184426229508198
HRBJA;2024;11;9,069264069264069
HRBJA;2024;12;7,681318681318682
HRBJA;2025;1;7,631944444444445
HRBJA;2025;2;8,020746887966805
HRBJA;2025;3;8,66789667896679
HRBJA;2025;4;8,423220973782772
HRBJA;2025;5;8,01056338028169
HRBJA;2025;6;8,474264705882353
HRBJA;2025;7;8,113013698630137
HRBJA;2025;8;9,047272727272727
HRBJA;2025;9;9,62753036437247
HRBJA;2025;10;9,526748971193415
HRBJA;2025;11;9,024291497975709
HRBJA;2025;12;9,007692307692308
HRJP;2022;1;9,945859872611464
HRJP;2022;2;8,65680473372781
HRJP;2022;3;8,733509234828496
HRJP;2022;4;9,542929292929292
HRJP;2022;5;8,202863961813842
HRJP;2022;6;10,587719298245615
HRJP;2022;7;9,244031830238727
HRJP;2022;8;8,965333333333334
HRJP;2022;9;9,561764705882354
HRJP;2022;10;10,59347181008902
HRJP;2022;11;10,305949008498583
HRJP;2022;12;9,56910569105691
HRJP;2023;1;9,929878048780488
HRJP;2023;2;9,555240793201133
HRJP;2023;3;9,257270693512304
HRJP;2023;4;10,379052369077307
HRJP;2023;5;9,88812785388128
HRJP;2023;6;8,859410430839002
HRJP;2023;7;9,310945273631841
HRJP;2023;8;10,578249336870027
HRJP;2023;9;10,040760869565217
HRJP;2023;10;9,35549872122762
HRJP;2023;11;9,770833333333334
HRJP;2023;12;9,427027027027027
HRJP;2024;1;11,263473053892216
HRJP;2024;2;10,822033898305085
